Pos,year,num,three_atmp,three_made,perc_made,mean_atmp
C,2001,93,364,86,0.23626373626373626,3.913978494623656
PF,2001,88,3869,1331,0.3440165417420522,43.96590909090909
PG,2001,101,10050,3568,0.35502487562189056,99.5049504950495
SF,2001,89,8400,2930,0.3488095238095238,94.38202247191012
SG,2001,70,9914,3609,0.36403066370788784,141.62857142857143
C,2002,99,896,317,0.35379464285714285,9.05050505050505
PF,2002,86,3555,1225,0.34458509142053445,41.33720930232558
PG,2002,89,10442,3630,0.347634552767669,117.32584269662921
SF,2002,80,8445,2905,0.34399052693901716,105.5625
SG,2002,86,11736,4325,0.36852419904567146,136.46511627906978
C,2003,101,497,150,0.30181086519114686,4.920792079207921
PF,2003,81,4224,1423,0.3368844696969697,52.148148148148145
PG,2003,87,10327,3580,0.3466640844388496,118.70114942528735
SF,2003,78,8949,3157,0.35277684657503633,114.73076923076923
SG,2003,81,10915,3890,0.35639028859367844,134.7530864197531
C,2004,97,559,150,0.26833631484794274,5.762886597938144
PF,2004,99,3869,1291,0.33367795295942104,39.08080808080808
PG,2004,83,10353,3555,0.3433787308026659,124.73493975903614
SF,2004,84,8740,3146,0.35995423340961097,104.04761904761905
SG,2004,79,11971,4179,0.3490936429705121,151.53164556962025
C,2005,106,785,253,0.32229299363057323,7.40566037735849
PF,2005,87,4433,1521,0.34310850439882695,50.95402298850575
PG,2005,86,11814,4166,0.3526324699509057,137.37209302325581
SF,2005,91,10112,3717,0.36758306962025317,111.12087912087912
SG,2005,94,11604,4120,0.35504998276456395,123.44680851063829
C,2006,100,301,64,0.21262458471760798,3.01
PF,2006,92,6082,2135,0.3510358434725419,66.1086956521739
PG,2006,96,12330,4478,0.3631792376317924,128.4375
SF,2006,84,8656,3073,0.35501386321626616,103.04761904761905
SG,2006,86,11944,4336,0.36302746148693904,138.88372093023256
C,2007,94,945,305,0.32275132275132273,10.053191489361701
PF,2007,109,5301,1853,0.3495566874174684,48.63302752293578
PG,2007,84,11266,3902,0.34635185513935735,134.11904761904762
SF,2007,75,10205,3715,0.36403723664870163,136.06666666666666
SG,2007,97,14118,5197,0.3681116305425698,145.5463917525773
C,2008,101,1519,500,0.32916392363396973,15.03960396039604
PF,2008,95,5352,1797,0.335762331838565,56.33684210526316
PG,2008,85,10991,3962,0.3604767537075789,129.30588235294118
SF,2008,75,10919,4068,0.372561589889184,145.58666666666667
SG,2008,95,15905,5851,0.36787173844702925,167.42105263157896
C,2009,97,1080,368,0.34074074074074073,11.1340206185567
PF,2009,90,5833,2163,0.3708211897822733,64.81111111111112
PG,2009,83,11081,4016,0.3624221640646151,133.50602409638554
SF,2009,85,12001,4391,0.3658861761519873,141.18823529411765
SG,2009,90,14594,5416,0.37111141565026723,162.15555555555557
C,2010,91,1463,481,0.3287764866712235,16.076923076923077
PF,2010,89,5031,1714,0.34068773603657326,56.52808988764045
PG,2010,89,12395,4461,0.3599031867688584,139.26966292134833
SF,2010,90,11942,4207,0.35228604923798357,132.6888888888889
SG,2010,84,13872,4983,0.3592128027681661,165.14285714285714
C,2011,105,588,176,0.29931972789115646,5.6
PF,2011,81,4514,1614,0.3575542755870625,55.72839506172839
PG,2011,80,10865,3819,0.3514956281638288,135.8125
SF,2011,90,12331,4424,0.35877057821750064,137.01111111111112
SG,2011,96,16015,5853,0.3654698719950047,166.82291666666666
C,2012,101,443,115,0.2595936794582393,5.4494449444944495
PF,2012,96,3766,1292,0.34306956983536907,48.739267676767675
PG,2012,93,9792,3367,0.34385212418300654,130.81524926686217
SF,2012,94,9812,3376,0.3440684875662454,129.68794326241135
SG,2012,94,12582,4543,0.36107137180098553,166.29980657640232
C,2013,95,485,118,0.24329896907216494,5.105263157894737
PF,2013,98,5549,1928,0.34744999098936746,56.62244897959184
PG,2013,83,12981,4726,0.3640705646714429,156.3975903614458
SF,2013,95,14022,5048,0.3600057053202111,147.6
SG,2013,97,16012,5777,0.36079190607044714,165.0721649484536
C,2014,92,1310,429,0.32748091603053436,14.23913043478261
PF,2014,97,6635,2308,0.34785229841748305,68.4020618556701
PG,2014,88,14500,5169,0.3564827586206897,164.77272727272728
SF,2014,97,14226,5116,0.3596232250808379,146.659793814433
SG,2014,107,16302,6032,0.3700159489633174,152.3551401869159
C,2015,87,1020,331,0.32450980392156864,11.724137931034482
PF,2015,108,7631,2570,0.33678416983357357,70.6574074074074
PG,2015,97,15002,5126,0.34168777496333824,154.659793814433
SF,2015,90,13364,4751,0.3555073331337923,148.48888888888888
SG,2015,110,18120,6522,0.35993377483443706,164.72727272727272
C,2016,91,1662,544,0.32731648616125153,18.263736263736263
PF,2016,105,9156,3221,0.3517911751856706,87.2
PG,2016,95,14740,5216,0.3538670284938942,155.1578947368421
SF,2016,89,15495,5408,0.3490158115521136,174.1011235955056
SG,2016,96,18189,6564,0.36087745340590466,189.46875
C,2017,97,4188,1480,0.3533906399235912,43.175257731958766
PF,2017,103,11244,3886,0.3456065457132693,109.16504854368932
PG,2017,97,15887,5709,0.35935041228677533,163.7835051546392
SF,2017,84,14668,5141,0.35049086446686667,174.61904761904762
SG,2017,105,20435,7532,0.36858331294347935,194.61904761904762
C,2018,105,4941,1715,0.34709572960939084,47.05714285714286
PF,2018,105,13952,5040,0.36123853211009177,132.8761904761905
PG,2018,112,15541,5534,0.35609034167685477,138.75892857142858
SF,2018,90,13080,4744,0.36269113149847093,145.33333333333334
SG,2018,127,23824,8773,0.3682421087978509,187.59055118110237
